Himachal Pradesh,Kangra,Kangra,Grapes,Other,Medium,06/02/2024,6000,8000,7000
Himachal Pradesh,Kangra,Kangra,Lemon,Other,FAQ,06/02/2024,9500,10000,9750
Himachal Pradesh,Kangra,Kangra,Mousambi(Sweet Lime),Other,Medium,06/02/2024,5000,6000,5500
Himachal Pradesh,Kangra,Kangra,Pumpkin,Other,FAQ,06/02/2024,2500,3000,2750
Himachal Pradesh,Kangra,Kangra,Spinach,Other,FAQ,06/02/2024,2500,4500,3500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Cauliflower,Cauliflower,FAQ,06/02/2024,2400,2500,2450
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Cucumbar(Kheera),Cucumbar,FAQ,06/02/2024,4200,4400,4300
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Guava,Guava,Medium,06/02/2024,5300,5500,5400
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Pomegranate,Other,Medium,06/02/2024,10500,12500,11500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Tomato,Tomato,FAQ,06/02/2024,4100,4200,4150
Himachal Pradesh,Kangra,Palampur,Carrot,Carrot,FAQ,06/02/2024,1800,1900,1850
Himachal Pradesh,Kangra,Palampur,Cauliflower,Cauliflower,FAQ,06/02/2024,2300,2400,2350
Himachal Pradesh,Kangra,Palampur,Lemon,Other,FAQ,06/02/2024,10000,11000,10500
Himachal Pradesh,Kangra,Palampur,Mashrooms,Other,FAQ,06/02/2024,2000,2000,2000
Himachal Pradesh,Kangra,Palampur,Papaya,Other,Medium,06/02/2024,2500,2600,2550
Himachal Pradesh,Kangra,Palampur,Pomegranate,Other,Medium,06/02/2024,10000,12000,11000
Himachal Pradesh,Kangra,Palampur,Raddish,Raddish,FAQ,06/02/2024,2000,2200,2100
Himachal Pradesh,Kangra,Palampur,Spinach,Spinach,FAQ,06/02/2024,4000,4200,4100
Himachal Pradesh,Kullu,Bhuntar,Potato,Other,FAQ,06/02/2024,800,1000,900
Himachal Pradesh,Kullu,Bhuntar,Pumpkin,Other,FAQ,06/02/2024,2000,2500,2300
Himachal Pradesh,Kullu,Bhuntar,Squash(Chappal Kadoo),Other,FAQ,06/02/2024,3000,3500,3300
Himachal Pradesh,Kullu,Kullu,Coriander(Leaves),Other,FAQ,06/02/2024,5500,7000,6000
Himachal Pradesh,Kullu,Kullu,Papaya,Other,Medium,06/02/2024,2900,3200,3000
